event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
746,P037,11.0,facial_first,2.0,142,verbal_volatile,,,C,neutral_vs_sad,0.3,0.8,1.0,1.0,left,left,0.0,6.0,3.0,low,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,1.0,3.0,left,HEART-4.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,155.80000000004657,False,0.0,0.0,0.0,0.0,0.0,142,3,2,1,1
751,P037,11.0,facial_first,2.0,143,verbal_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,left,right,1.0,6.0,3.0,low,high,HappyPop.png,SadPop.png,happy,sad,1.0,10.0,9.0,right,DIAMOND-10.png,9.0,I think I'm going to win this round.,Z,M,M,M,1.0,174.90000000002328,False,0.0,0.0,1.0,1.0,0.0,143,1,2,1,0
756,P037,11.0,facial_first,2.0,144,verbal_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,left,right,1.0,6.0,3.0,low,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,10.0,2.0,right,SPADE-10.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,149.99999999988358,False,0.0,0.0,1.0,1.0,0.0,144,2,2,1,0
761,P037,11.0,facial_first,2.0,145,verbal_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,right,left,1.0,6.0,3.0,low,high,SadPop.png,HappyPop.png,sad,happy,9.0,5.0,4.0,left,SPADE-9.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,149.09999999846332,False,1.0,0.0,1.0,1.0,1.0,145,1,2,0,1
766,P037,11.0,facial_first,2.0,146,verbal_volatile,,,C,neutral_vs_sad,0.3,0.8,1.0,1.0,left,left,0.0,6.0,3.0,low,high,NeutralPop.png,SadPop.png,neutral,sad,10.0,6.0,4.0,left,CLUB-10.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,221.59999999846332,False,0.0,0.0,0.0,0.0,0.0,146,3,2,1,1
771,P037,11.0,facial_first,2.0,147,verbal_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,left,right,1.0,6.0,3.0,low,high,HappyPop.png,NeutralPop.png,happy,neutral,1.0,8.0,7.0,right,CLUB-8.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,611.0,False,0.0,0.0,1.0,1.0,0.0,147,2,2,1,0
776,P037,11.0,facial_first,2.0,148,verbal_volatile,,,B,happy_vs_neutral,0.2,0.8,1.0,1.0,right,right,0.0,6.0,3.0,low,high,NeutralPop.png,HappyPop.png,neutral,happy,1.0,8.0,7.0,right,SPADE-8.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,187.10000000149012,False,0.0,1.0,1.0,1.0,0.0,148,2,2,0,0
781,P037,11.0,facial_first,2.0,149,verbal_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,left,right,1.0,6.0,3.0,low,high,HappyPop.png,SadPop.png,happy,sad,4.0,10.0,6.0,right,CLUB-10.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,111.20000000146683,False,0.0,0.0,1.0,1.0,0.0,149,1,2,1,0
786,P037,11.0,facial_first,2.0,150,verbal_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,right,left,1.0,6.0,3.0,low,high,SadPop.png,NeutralPop.png,sad,neutral,6.0,2.0,4.0,left,SPADE-6.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,81.79999999550637,False,1.0,0.0,1.0,1.0,1.0,150,3,2,0,1
791,P037,11.0,facial_first,2.0,151,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,NeutralPop.png,happy,neutral,2.0,5.0,3.0,right,DIAMOND-5.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,19.5,False,1.0,1.0,1.0,0.0,1.0,151,2,2,1,1
796,P037,11.0,facial_first,2.0,152,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,1.0,1.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,HappyPop.png,sad,happy,1.0,10.0,9.0,right,DIAMOND-10.png,9.0,I think I'm going to win this round.,Z,M,M,M,1.0,210.30000000144355,False,0.0,1.0,1.0,1.0,0.0,152,1,2,0,0
801,P037,11.0,facial_first,2.0,153,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,1.0,0.0,right,left,1.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,5.0,10.0,5.0,right,SPADE-10.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,208.79999999853317,False,1.0,0.0,1.0,0.0,1.0,153,3,2,0,1
806,P037,11.0,facial_first,2.0,154,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,HappyPop.png,sad,happy,2.0,1.0,1.0,left,SPADE-2.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,153.89999999548309,False,0.0,1.0,1.0,0.0,0.0,154,1,2,0,0
811,P037,11.0,facial_first,2.0,155,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,8.0,6.0,2.0,left,SPADE-8.png,2.0,I think I'm going to win this round.,Z,M,Z,M,0.0,131.9999999984866,False,0.0,1.0,1.0,0.0,0.0,155,3,2,0,0
816,P037,11.0,facial_first,2.0,156,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,4.0,1.0,3.0,left,CLUB-4.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,2804.1999999999534,False,1.0,0.0,0.0,1.0,1.0,156,2,2,0,0
821,P037,11.0,facial_first,2.0,157,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,SadPop.png,happy,sad,4.0,7.0,3.0,right,HEART-7.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,122.69999999995343,False,1.0,1.0,1.0,0.0,1.0,157,1,2,1,1
826,P037,11.0,facial_first,2.0,158,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,NeutralPop.png,happy,neutral,6.0,9.0,3.0,right,CLUB-9.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,34.19999999552965,False,1.0,1.0,1.0,0.0,1.0,158,2,2,1,1
831,P037,11.0,facial_first,2.0,159,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,7.0,6.0,1.0,left,SPADE-7.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,219.90000000002328,False,1.0,0.0,0.0,1.0,1.0,159,3,2,0,0
836,P037,11.0,facial_first,2.0,160,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,6.0,2.0,4.0,left,SPADE-6.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,39.899999995483086,False,1.0,0.0,0.0,1.0,1.0,160,2,2,0,0
841,P037,11.0,facial_first,2.0,161,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,SadPop.png,happy,sad,9.0,10.0,1.0,right,DIAMOND-10.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,21.79999999550637,False,0.0,0.0,0.0,1.0,0.0,161,1,2,1,1
846,P037,11.0,facial_first,2.0,162,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,1.0,0.0,right,left,1.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,1.0,2.0,1.0,right,SPADE-2.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,75.90000000153668,False,1.0,0.0,1.0,0.0,1.0,162,3,2,0,1
851,P037,11.0,facial_first,2.0,163,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,NeutralPop.png,happy,neutral,1.0,2.0,1.0,right,SPADE-2.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,119.80000000004657,False,0.0,0.0,0.0,1.0,0.0,163,2,2,1,1
856,P037,11.0,facial_first,2.0,164,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,1.0,0.0,left,right,1.0,6.0,4.0,low,low,HappyPop.png,SadPop.png,happy,sad,7.0,1.0,6.0,left,HEART-7.png,6.0,I think I'm going to win this round.,Z,M,Z,M,0.0,230.5000000015134,False,0.0,0.0,1.0,0.0,0.0,164,1,2,1,0
861,P037,11.0,facial_first,2.0,165,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,1.0,1.0,left,left,0.0,6.0,4.0,low,low,NeutralPop.png,SadPop.png,neutral,sad,6.0,2.0,4.0,left,HEART-6.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,132.0,False,0.0,0.0,0.0,0.0,0.0,165,3,2,1,1
866,P037,11.0,facial_first,2.0,166,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,HappyPop.png,sad,happy,7.0,1.0,6.0,left,CLUB-7.png,6.0,I think I'm going to win this round.,Z,M,Z,M,0.0,40.399999996996485,False,0.0,1.0,1.0,0.0,0.0,166,1,2,0,0
871,P037,11.0,facial_first,2.0,167,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,1.0,0.0,left,right,1.0,6.0,4.0,low,low,NeutralPop.png,SadPop.png,neutral,sad,9.0,5.0,4.0,left,SPADE-9.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,32.19999999704305,False,1.0,1.0,0.0,1.0,1.0,167,3,2,1,0
876,P037,11.0,facial_first,2.0,168,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,1.0,0.0,right,left,1.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,4.0,8.0,4.0,right,DIAMOND-8.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,595.0999999955529,False,0.0,1.0,0.0,1.0,0.0,168,2,2,0,1
881,P037,11.0,facial_first,2.0,169,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,SadPop.png,happy,sad,4.0,10.0,6.0,right,SPADE-10.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,14.199999995529652,False,0.0,0.0,0.0,1.0,0.0,169,1,2,1,1
886,P037,11.0,facial_first,2.0,170,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,0.0,1.0,right,left,1.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,9.0,7.0,2.0,left,DIAMOND-9.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,178.69999999704305,False,1.0,0.0,1.0,1.0,1.0,170,3,2,0,1
891,P037,11.0,facial_first,2.0,171,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,9.0,4.0,5.0,left,CLUB-9.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,77.19999999855645,False,0.0,1.0,1.0,0.0,0.0,171,2,2,0,0
896,P037,11.0,facial_first,2.0,172,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,10.0,3.0,7.0,left,CLUB-10.png,7.0,I think I'm going to win this round.,Z,M,Z,M,0.0,338.69999999995343,False,0.0,1.0,1.0,0.0,0.0,172,3,2,0,0
901,P037,11.0,facial_first,2.0,173,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,1.0,right,left,1.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,6.0,4.0,2.0,left,HEART-6.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,140.69999999855645,False,1.0,0.0,1.0,1.0,1.0,173,2,2,0,1
906,P037,11.0,facial_first,2.0,174,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,HappyPop.png,sad,happy,8.0,3.0,5.0,left,DIAMOND-8.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,16.29999999550637,False,1.0,0.0,0.0,1.0,1.0,174,1,2,0,0
911,P037,11.0,facial_first,2.0,175,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,SadPop.png,happy,sad,3.0,9.0,6.0,right,CLUB-9.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,57.300000000046566,False,0.0,0.0,0.0,1.0,0.0,175,1,2,1,1
916,P037,11.0,facial_first,2.0,176,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,0.0,left,left,0.0,6.0,4.0,low,low,HappyPop.png,NeutralPop.png,happy,neutral,1.0,7.0,6.0,right,SPADE-7.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,221.5,False,0.0,0.0,0.0,1.0,0.0,176,2,2,1,1
921,P037,11.0,facial_first,2.0,177,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,NeutralPop.png,sad,neutral,10.0,8.0,2.0,left,HEART-10.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,201.89999999699648,False,1.0,0.0,0.0,1.0,1.0,177,3,2,0,0
926,P037,11.0,facial_first,2.0,178,verbal_volatile,,,B,happy_vs_neutral,0.2,0.2,0.0,1.0,right,left,1.0,6.0,4.0,low,low,NeutralPop.png,HappyPop.png,neutral,happy,9.0,6.0,3.0,left,CLUB-9.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,21.299999997019768,False,1.0,0.0,1.0,1.0,1.0,178,2,2,0,1
931,P037,11.0,facial_first,2.0,179,verbal_volatile,,,A,happy_vs_sad,0.1,0.2,0.0,0.0,right,right,0.0,6.0,4.0,low,low,SadPop.png,HappyPop.png,sad,happy,9.0,6.0,3.0,left,SPADE-9.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,16.699999999953434,False,1.0,0.0,0.0,1.0,1.0,179,1,2,0,0
936,P037,11.0,facial_first,2.0,180,verbal_volatile,,,C,neutral_vs_sad,0.3,0.2,1.0,0.0,left,right,1.0,6.0,4.0,low,low,NeutralPop.png,SadPop.png,neutral,sad,8.0,3.0,5.0,left,CLUB-8.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,301.0999999984633,False,0.0,0.0,1.0,0.0,0.0,180,3,2,1,0
